unown-a,1,Ａ,NULL
unown-a,3,A,NULL
unown-a,5,A,Zarbi A
unown-a,6,A,NULL
unown-a,7,A,NULL
unown-a,8,A,NULL
unown-a,9,A,Unown A
castform,1,ポワルンのすがた,NULL
castform,3,캐스퐁의 모습,NULL
castform,4,飄浮泡泡的樣子,NULL
castform,5,Forme de Morphéo,NULL
castform,6,Formeo,NULL
castform,7,Forma de Castform,NULL
castform,8,Forma Castform,NULL
castform,9,Normal,NULL
castform,11,ポワルンのすがた,NULL
castform,12,飘浮泡泡的样子,NULL
kyogre,1,カイオーガのすがた,NULL
kyogre,3,가이오가의 모습,NULL
kyogre,4,蓋歐卡的樣子,NULL
kyogre,5,Kyogre,NULL
kyogre,6,Kyogre,NULL
kyogre,7,Kyogre,NULL
kyogre,9,Kyogre,NULL
kyogre,11,カイオーガのすがた,NULL
kyogre,12,盖欧卡的样子,NULL
groudon,1,グラードンのすがた,NULL
groudon,3,그란돈의 모습,NULL
groudon,4,固拉多的樣子,NULL
groudon,5,Groudon,NULL
groudon,6,Groudon,NULL
groudon,7,Groudon,NULL
groudon,9,Groudon,NULL
groudon,11,グラードンのすがた,NULL
groudon,12,固拉多的样子,NULL
deoxys-normal,1,ノーマルフォルム,NULL
deoxys-normal,3,노말폼,NULL
deoxys-normal,4,普通形態,NULL
deoxys-normal,5,Forme Normale,Deoxys Normal
deoxys-normal,6,Normalform,NULL
deoxys-normal,7,Forma Normal,NULL
deoxys-normal,8,Forma Normale,NULL
deoxys-normal,9,Normal Forme,Normal Deoxys
deoxys-normal,11,ノーマルフォルム,NULL
deoxys-normal,12,普通形态,NULL
burmy-plant,1,くさきのミノ,NULL
burmy-plant,3,초목도롱,NULL
burmy-plant,5,Cape Plante,Cheniti Plante
burmy-plant,6,Pflanzenumhang,NULL
burmy-plant,7,Tronco Planta,NULL
burmy-plant,8,Manto Pianta,NULL
burmy-plant,9,Plant Cloak,Plant Burmy
wormadam-plant,1,くさきのミノ,NULL
wormadam-plant,3,초목도롱,NULL
wormadam-plant,4,草木蓑衣,NULL
wormadam-plant,5,Cape Plante,Cheniselle Plante
wormadam-plant,6,Pflanzenumhang,NULL
wormadam-plant,7,Tronco Planta,NULL
wormadam-plant,8,Manto Pianta,NULL
wormadam-plant,9,Plant Cloak,Plant Wormadam
